county,state,pct_lead,winner,latitude,longitude
laurens,south carolina,0.2912,Trump,34.5953,-82.1147
lavaca,texas,0.7146,Trump,29.57,-97.1031
lawrence,tennessee,0.4525,Trump,35.4307,-87.3198
le flore,oklahoma,0.5873,Trump,35.3434,-94.4403
le sueur,minnesota,0.3066,Trump,44.5402,-93.5805
lea,new mexico,0.4831,Trump,33.5272,-103.3564
leake,mississippi,0.1417,Trump,32.864,-89.6695
leavenworth,kansas,0.2468,Trump,39.3485,-94.9265
lebanon,pennsylvania,0.3555,Trump,40.4524,-76.4267
lee,virginia,0.169,Clinton,36.8315,-83.0518
leelanau,michigan,0.0315,Trump,45.1157,-85.6173
leflore,mississippi,0.4098,Clinton,33.7515,-90.3133
lehigh,pennsylvania,0.0444,Clinton,40.7455,-75.6592
lemhi,idaho,0.56,Trump,45.5704,-113.9913
lenawee,michigan,0.2108,Trump,42.0639,-83.9442
lenoir,north carolina,0.0628,Trump,35.3191,-77.595
leon,texas,0.2577,Clinton,31.5849,-95.8491
leslie,kentucky,0.8048,Trump,37.2187,-83.4974
letcher,kentucky,0.6296,Trump,37.2409,-82.7696
levy,florida,0.4475,Trump,29.4832,-82.8809
lewis,west virginia,0.5259,Trump,39.11,-80.4311
lewis and clark,montana,0.069,Trump,47.4537,-112.3883
lexington,south carolina,0.3671,Trump,34.1312,-81.3318
lexington (city),virginia,0.3056,Clinton,37.7885,-79.4581
liberty,texas,0.1879,Clinton,30.4596,-94.7436
licking,ohio,0.2895,Trump,40.2528,-82.5177
limestone,texas,0.5143,Trump,31.7504,-96.5416
lincoln,wyoming,0.2954,Clinton,43.1635,-111.018
linn,oregon,0.2792,Clinton,44.7516,-122.4768
litchfield,connecticut,0.1389,Trump,42.032,-73.4038
little river,arkansas,0.4183,Trump,33.8583,-94.3952
live oak,texas,0.6353,Trump,28.6373,-98.2565
livingston,new york,0.4348,Trump,42.9567,-77.8493
llano,texas,0.6223,Trump,30.866,-98.8357
logan,west virginia,0.529,Trump,38.0043,-82.0401
long,georgia,0.3084,Trump,31.7705,-81.7453
lonoke,arkansas,0.5281,Trump,34.9921,-91.9798
lorain,ohio,0.0029,Trump,41.5019,-82.0111
los alamos,new mexico,0.1972,Clinton,35.8663,-106.2676
los angeles,california,0.4805,Clinton,34.7471,-118.3687
loudon,tennessee,0.5437,Trump,35.8104,-84.2665
loudoun,virginia,0.1679,Clinton,39.2204,-77.6596
louisa,virginia,0.2645,Trump,38.0515,-78.0728
love,oklahoma,0.577,Trump,34.0539,-97.1324
lowndes,mississippi,0.1525,Clinton,33.5671,-88.3278
lubbock,texas,0.3835,Trump,33.7296,-101.8355
lucas,ohio,0.1085,Clinton,41.7207,-83.5694
luce,michigan,0.4173,Trump,46.3438,-85.515
lumpkin,georgia,0.6002,Trump,34.5299,-83.9798
luna,new mexico,0.0388,Trump,32.2398,-107.7404
lunenburg,virginia,0.1758,Trump,36.9835,-78.2372
luzerne,pennsylvania,0.1962,Trump,41.3665,-75.8362
lycoming,pennsylvania,0.4484,Trump,41.5299,-77.4917
lynchburg (city),virginia,0.0903,Trump,37.4376,-79.205
lynn,texas,0.5724,Trump,33.3451,-101.9203
lyon,nevada,0.4394,Trump,39.6019,-119.235
mackinac,michigan,0.2718,Trump,46.2048,-85.7865
macomb,michigan,0.1155,Trump,42.8409,-82.8899
macon,tennessee,0.0085,Clinton,36.539,-86.0242
macoupin,illinois,0.3502,Trump,39.5064,-89.7783
madera,california,0.1733,Trump,37.4076,-119.7233
madison,virginia,0.3672,Trump,38.5095,-78.2638
magoffin,kentucky,0.5184,Trump,37.7843,-83.0109
mahaska,iowa,0.4572,Trump,41.4883,-92.4703
mahnomen,minnesota,0.0294,Trump,47.4491,-95.9454
mahoning,ohio,0.03,Clinton,41.1257,-80.6277
major,oklahoma,0.7738,Trump,36.409,-98.4423
malheur,oregon,0.4953,Trump,44.3009,-117.9444
manassas (city),virginia,0.1618,Clinton,38.793,-77.5266
manassas park (city),virginia,0.285,Clinton,38.7709,-77.4494
manatee,florida,0.1715,Trump,27.5722,-82.5832
manistee,michigan,0.1537,Trump,44.5232,-86.2061
manitowoc,wisconsin,0.2168,Trump,44.3272,-87.6237
marathon,wisconsin,0.182,Trump,45.0273,-89.6541
