company_name,symbol,slope_diff,city,state,latitude,longitude,sector,sub_industry
Costco Co.,COST,0.007,Issaquah,Washington,47.5585,-122.0055,Consumer Staples,Hypermarkets & Super Centers
Expeditors Int'l,EXPD,0.0063,Seattle,Washington,47.7559,-122.3003,Industrials,Air Freight & Logistics
Expedia Inc.,EXPE,-0.0085,Bellevue,Washington,47.6174,-122.1426,Consumer Discretionary,Internet & Direct Marketing Retail
F5 Networks,FFIV,0.0026,Seattle,Washington,47.7559,-122.3003,Information Technology,Networking Equipment
Nordstrom,JWN,0.0134,Seattle,Washington,47.7559,-122.3003,Consumer Discretionary,Department Stores
Microsoft Corp.,MSFT,-0.0061,Redmond,Washington,47.674,-122.1215,Information Technology,Systems Software
PACCAR Inc.,PCAR,0.0001,Bellevue,Washington,47.6174,-122.1426,Industrials,Construction & Farm Machinery & Heavy Trucks
Starbucks Corp.,SBUX,-0.006,Seattle,Washington,47.7559,-122.3003,Consumer Discretionary,Restaurants
Weyerhaeuser Corp.,WY,-0.0008,Federal Way,Washington,47.3223,-122.3126,Real Estate,REITs
Zimmer Biomet Holdings,ZBH,-0.0042,Warsaw,Indiana,41.2842,-85.8547,Health Care,Health Care Equipment
AbbVie,ABBV,-0.0073,North Chicago,Illinois,42.4333,-87.7766,Health Care,Pharmaceuticals
Abbott Laboratories,ABT,-0.0091,North Chicago,Illinois,42.4333,-87.7766,Health Care,Health Care Equipment
Baxter International Inc.,BAX,-0.0098,Deerfield,Illinois,42.1705,-87.859,Health Care,Health Care Equipment
CF Industries Holdings Inc,CF,0.0089,Deerfield,Illinois,42.1705,-87.859,Materials,Fertilizers & Agricultural Chemicals
Fortune Brands Home & Security,FBHS,0.0006,Deerfield,Illinois,42.1705,-87.859,Industrials,Building Products
Grainger (W.W.) Inc.,GWW,-0.0048,Lake Forest,Illinois,42.2374,-87.8482,Industrials,Industrial Materials
Stericycle Inc,SRCL,0.0044,Lake Forest,Illinois,42.2374,-87.8482,Industrials,Industrial Conglomerates
Walgreens Boots Alliance,WBA,0.005,Deerfield,Illinois,42.1705,-87.859,Consumer Staples,Drug Retail
NiSource Inc.,NI,-0.0048,Merrillville,Indiana,41.4957,-87.3509,Utilities,MultiUtilities
Air Products & Chemicals Inc,APD,-0.0048,Allentown,Pennsylvania,40.6934,-75.4712,Materials,Industrial Gases
PPL Corp.,PPL,-0.0053,Allentown,Pennsylvania,40.6934,-75.4712,Utilities,Electric Utilities
SCANA Corp,SCG,-0.0031,Cayce,South Carolina,33.9626,-81.0671,Utilities,MultiUtilities
Rockwell Collins,COL,0.0061,Cedar Rapids,Iowa,42.0794,-91.5992,Industrials,Industrial Conglomerates
Activision Blizzard,ATVI,0.0033,Santa Monica,California,34.0349,-118.503,Information Technology,Home Entertainment Software
Avery Dennison Corp,AVY,-0.0047,Glendale,California,34.1921,-118.235,Materials,Paper Packaging
CBRE Group,CBG,-0.001,Los Angeles,California,34.1339,-118.2082,Real Estate,Real Estate Services
The Walt Disney Company,DIS,0.0029,Burbank,California,34.2001,-118.3264,Consumer Discretionary,Broadcasting & Cable TV
Edison Int'l,EIX,-0.0044,Rosemead,California,34.0806,-118.0728,Utilities,Electric Utilities
HCP Inc.,HCP,-0.0008,Long Beach,California,33.8635,-118.1801,Real Estate,REITs
Jacobs Engineering Group,JEC,0.0144,Pasadena,California,34.1678,-118.1261,Industrials,Industrial Conglomerates
Macerich,MAC,0.003,Santa Monica,California,34.0349,-118.503,Real Estate,Retail REITs
Mattel Inc.,MAT,0.0036,El Segundo,California,33.9243,-118.4119,Consumer Discretionary,Leisure Products
Occidental Petroleum,OXY,0.0039,Los Angeles,California,34.1339,-118.2082,Energy,Oil & Gas Exploration & Production
Public Storage,PSA,-0.0105,Glendale,California,34.1921,-118.235,Real Estate,REITs
Verisign Inc.,VRSN,-0.0082,Dulles,Virginia,39.0853,-77.6452,Information Technology,Internet Software & Services
Welltower Inc.,HCN,0.0069,Toledo,Ohio,41.7207,-83.5694,Real Estate,REITs
Archer-Daniels-Midland Co,ADM,-0.0132,Decatur,Illinois,39.8583,-88.9382,Consumer Staples,Agricultural Products
Freeport-McMoran Cp & Gld,FCX,-0.0059,Phoenix,Arizona,33.8155,-112.1202,Materials,Copper
First Solar Inc,FSLR,0.0341,Tempe,Arizona,33.4285,-111.9349,Information Technology,Semiconductors
Microchip Technology,MCHP,-0.007,Chandler,Arizona,33.3301,-111.8632,Information Technology,Semiconductors
Pinnacle West Capital,PNW,-0.002,Phoenix,Arizona,33.8155,-112.1202,Utilities,MultiUtilities
Republic Services Inc,RSG,0.0027,Phoenix,Arizona,33.8155,-112.1202,Industrials,Industrial Conglomerates
Autodesk Inc,ADSK,-0.0062,San Rafael,California,38.0739,-122.5594,Information Technology,Application Software
Anthem Inc.,ANTM,0.006,Indianapolis,Indiana,39.9069,-86.1238,Health Care,Managed Health Care
Lilly (Eli) & Co.,LLY,-0.0063,Indianapolis,Indiana,39.9069,-86.1238,Health Care,Pharmaceuticals
Simon Property Group Inc,SPG,0.0002,Indianapolis,Indiana,39.9069,-86.1238,Real Estate,REITs
NRG Energy,NRG,-0.027,Princeton,New Jersey,40.3666,-74.6408,Utilities,Independent Power Producers & Energy Traders
Akamai Technologies Inc,AKAM,-0.0009,Cambridge,Massachusetts,42.3932,-71.1338,Information Technology,Internet Software & Services
BIOGEN IDEC Inc.,BIIB,-0.0107,Weston,Massachusetts,42.3589,-71.3001,Health Care,Biotechnology
Boston Scientific,BSX,-0.0122,Marlborough,Massachusetts,42.3509,-71.5434,Health Care,Health Care Equipment
Hologic,HOLX,-0.0149,Marlborough,Massachusetts,42.3509,-71.5434,Health Care,Health Care Equipment
PerkinElmer,PKI,-0.0053,Waltham,Massachusetts,42.3986,-71.2451,Health Care,Health Care Equipment
Raytheon Co.,RTN,0.0002,Waltham,Massachusetts,42.3986,-71.2451,Industrials,Aerospace & Defense
Staples Inc.,SPLS,0.0062,Framingham,Massachusetts,42.4464,-71.4594,Consumer Discretionary,Specialty Stores
Skyworks Solutions,SWKS,-0.0105,Woburn,Massachusetts,42.4829,-71.1574,Information Technology,Semiconductors
TJX Companies Inc.,TJX,-0.0034,Framingham,Massachusetts,42.4464,-71.4594,Consumer Discretionary,Apparel Retail
Thermo Fisher Scientific,TMO,-0.0131,Waltham,Massachusetts,42.3986,-71.2451,Health Care,Health Care Equipment
TripAdvisor,TRIP,-0.0151,Newton,Massachusetts,42.3528,-71.1875,Consumer Discretionary,Internet & Direct Marketing Retail
Vertex Pharmaceuticals Inc,VRTX,-0.0111,Cambridge,Massachusetts,42.3932,-71.1338,Health Care,Biotechnology
Johnson & Johnson,JNJ,-0.0086,New Brunswick,New Jersey,40.5139,-74.4451,Health Care,Health Care Equipment
Dow Chemical,DOW,-0.0024,Midland,Michigan,43.6473,-84.3873,Materials,Diversified Chemicals
Concho Resources,CXO,-0.0069,Midland,Texas,32.0295,-102.0915,Energy,Oil & Gas Exploration & Production
Harley-Davidson,HOG,-0.0039,Milwaukee,Wisconsin,43.1624,-87.9898,Consumer Discretionary,Motorcycle Manufacturers
Johnson Controls,JCI,-0.0076,Milwaukee,Wisconsin,43.1624,-87.9898,Consumer Discretionary,Building Products
Rockwell Automation Inc.,ROK,-0.002,Milwaukee,Wisconsin,43.1624,-87.9898,Industrials,Industrial Conglomerates
Wisconsin Energy Corporation,WEC,-0.0049,Milwaukee,Wisconsin,43.1624,-87.9898,Utilities,Electric Utilities
Paychex Inc.,PAYX,0.0016,Penfield,New York,43.1396,-77.456,Information Technology,Internet Software & Services
Discovery Communications-A,DISCA,0.0112,Silver Spring,Maryland,39.1148,-77.0059,Consumer Discretionary,Cable & Satellite
Discovery Communications-C,DISCK,0.0091,Silver Spring,Maryland,39.1148,-77.0059,Consumer Discretionary,Cable & Satellite
Federal Realty Investment Trust,FRT,-0.0032,Rockville,Maryland,39.144,-77.2076,Real Estate,Retail REITs
Host Hotels & Resorts,HST,0.0039,Bethesda,Maryland,39.144,-77.2076,Real Estate,REITs
Lockheed Martin Corp.,LMT,0.0107,Bethesda,Maryland,39.144,-77.2076,Industrials,Aerospace & Defense
Marriott Int'l.,MAR,-0.0001,Bethesda,Maryland,39.144,-77.2076,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Mohawk Industries,MHK,-0.0189,Amsterdam,New York,42.9387,-74.1882,Consumer Discretionary,Home Furnishings
Teradata Corp.,TDC,0.0016,Miamisburg,Ohio,39.7505,-84.2686,Information Technology,Application Software
Universal Health Services Inc.,UHS,-0.0073,King Of Prussia,Pennsylvania,40.0956,-75.3737,Health Care,Health Care Facilities
Quest Diagnostics,DGX,0.0048,Madison,New Jersey,40.7599,-74.4179,Health Care,Health Care Facilities
Honeywell Int'l Inc.,HON,-0.0029,Morristown,New Jersey,40.8673,-74.5783,Industrials,Industrial Conglomerates
Wyndham Worldwide,WYN,0.0032,Parsippany,New Jersey,40.8621,-74.4117,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Zoetis,ZTS,-0.0092,Florham Park,New Jersey,40.7757,-74.3928,Health Care,Pharmaceuticals
Hormel Foods Corp.,HRL,-0.0034,Austin,Minnesota,43.6695,-92.9784,Consumer Staples,Packaged Foods & Meats
AFLAC Inc,AFL,-0.0026,Columbus,Georgia,32.5369,-84.9274,Financials,Life & Health Insurance
Total System Services,TSS,-0.0082,Columbus,Georgia,32.5369,-84.9274,Information Technology,Internet Software & Services
Kimco Realty,KIM,-0.0006,New Hyde Park,New York,40.7602,-73.695,Real Estate,REITs
Du Pont (E.I.),DD,-0.0074,Wilmington,Delaware,39.8188,-75.5064,Materials,Diversified Chemicals
Navient,NAVI,0.0115,Newark,Delaware,39.7011,-75.7375,Financials,Consumer Finance
Alexion Pharmaceuticals,ALXN,-0.0026,Cheshire,Connecticut,41.5055,-72.9081,Health Care,Biotechnology
Amphenol Corp A,APH,-0.0046,Wallingford,Connecticut,41.46,-72.8222,Industrials,Electrical Components & Equipment
Analog Devices Inc.,ADI,0.0053,Norwood,Massachusetts,42.1868,-71.2033,Information Technology,Semiconductors
Norfolk Southern Corp.,NSC,0.0024,Norfolk,Virginia,36.9442,-76.252,Industrials,Railroads
BorgWarner,BWA,-0.0042,Auburn Hills,Michigan,42.6601,-83.3863,Consumer Discretionary,Auto Parts & Equipment
Chesapeake Energy,CHK,0.0005,Oklahoma City,Oklahoma,35.6174,-97.5583,Energy,Integrated Oil & Gas
Devon Energy Corp.,DVN,-0.006,Oklahoma City,Oklahoma,35.6174,-97.5583,Energy,Oil & Gas Exploration & Production
Constellation Brands,STZ,-0.0075,Victor,New York,42.9866,-77.418,Consumer Staples,Distillers & Vintners
Edwards Lifesciences,EW,-0.0143,Irvine,California,33.7419,-117.7467,Health Care,Health Care Equipment
Western Digital,WDC,0.0014,Irvine,California,33.7419,-117.7467,Information Technology,Computer Storage & Peripherals
Darden Restaurants,DRI,0.007,Orlando,Florida,28.6214,-81.4294,Consumer Discretionary,Restaurants
Entergy Corp.,ETR,-0.0009,New Orleans,Louisiana,30.0877,-89.8462,Utilities,Electric Utilities
CenturyLink Inc,CTL,0.0027,Monroe,Louisiana,32.553,-92.0422,Telecommunications Services,Integrated Telecommunications Services
Caterpillar Inc.,CAT,-0.0018,Peoria,Illinois,40.8767,-89.5091,Industrials,Construction & Farm Machinery & Heavy Trucks
CIGNA Corp.,CI,-0.0117,Philadelphia,Pennsylvania,40.1166,-75.0198,Health Care,Managed Health Care
Comcast A Corp,CMCSA,0.0067,Philadelphia,Pennsylvania,40.1166,-75.0198,Consumer Discretionary,Cable & Satellite
FMC Corporation,FMC,-0.0227,Philadelphia,Pennsylvania,40.1166,-75.0198,Materials,Diversified Chemicals
Urban Outfitters,URBN,0.02,Philadelphia,Pennsylvania,40.1166,-75.0198,Consumer Discretionary,Apparel Retail
Block H&R,HRB,0.0188,Kansas City,Missouri,39.3432,-94.8516,Financials,Consumer Finance
Kansas City Southern,KSU,-0.0025,Kansas City,Missouri,39.3432,-94.8516,Industrials,Railroads
Principal Financial Group,PFG,-0.0005,Des Moines,Iowa,41.6727,-93.5722,Financials,Diversified Financial Services
Citizens Financial Group,CFG,0.0075,Providence,Rhode Island,41.8541,-71.4378,Financials,Banks
CVS Health,CVS,0.0091,Woonsocket,Rhode Island,41.9846,-71.5194,Consumer Staples,Drug Retail
Hasbro Inc.,HAS,0.0016,Pawtucket,Rhode Island,41.8814,-71.356,Consumer Discretionary,Leisure Products
Textron Inc.,TXT,0.001,Providence,Rhode Island,41.8541,-71.4378,Industrials,Industrial Conglomerates
Carnival Corp.,CCL,0.0006,Miami,Florida,25.7964,-80.3849,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Lennar Corp.,LEN,-0.0003,Miami,Florida,25.7964,-80.3849,Consumer Discretionary,Homebuilding
Ryder System,R,-0.0039,Miami,Florida,25.7964,-80.3849,Industrials,Industrial Conglomerates
Royal Caribbean Cruises Ltd,RCL,0.0054,Miami,Florida,25.7964,-80.3849,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Monster Beverage,MNST,-0.231,Corona,California,33.9208,-117.6096,Consumer Staples,Soft Drinks
Advance Auto Parts,AAP,0.0157,Roanoke,Virginia,37.3029,-79.9322,Consumer Discretionary,Automotive Retail
Bank of America Corp,BAC,0.0122,Charlotte,North Carolina,35.216,-80.8358,Financials,Banks
Duke Energy,DUK,-0.006,Charlotte,North Carolina,35.216,-80.8358,Utilities,Electric Utilities
Nucor Corp.,NUE,-0.0038,Charlotte,North Carolina,35.216,-80.8358,Materials,Steel
Deere & Co.,DE,0.0008,Moline,Illinois,41.5067,-90.5151,Industrials,Construction & Farm Machinery & Heavy Trucks
American International Group Inc.,AIG,0.0092,New York,New York,41.1472,-73.9962,Financials,Property & Casualty Insurance
Assurant Inc,AIZ,0.0055,New York,New York,41.1472,-73.9962,Financials,Multi-line Insurance
Arconic Inc,ARNC,0.0193,New York,New York,41.1472,-73.9962,Industrials,Aerospace & Defense
American Express Co,AXP,0.004,New York,New York,41.1472,-73.9962,Financials,Consumer Finance
The Bank of New York Mellon Corp.,BK,0.004,New York,New York,41.1472,-73.9962,Financials,Banks
BlackRock,BLK,-0.0056,New York,New York,41.1472,-73.9962,Financials,Asset Management & Custody Banks
Bristol-Myers Squibb,BMY,-0.0074,New York,New York,41.1472,-73.9962,Health Care,Health Care Distributors
Citigroup Inc.,C,0.0042,New York,New York,41.1472,-73.9962,Financials,Banks
CBS Corp.,CBS,-0.0025,New York,New York,41.1472,-73.9962,Consumer Discretionary,Broadcasting & Cable TV
Colgate-Palmolive,CL,-0.0072,New York,New York,41.1472,-73.9962,Consumer Staples,Household Products
Coach Inc.,COH,0.0023,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Coty Inc,COTY,-0.0066,New York,New York,41.1472,-73.9962,Consumer Staples,Personal Products
Consolidated Edison,ED,-0.0068,New York,New York,41.1472,-73.9962,Utilities,Electric Utilities
Estee Lauder Cos.,EL,-0.003,New York,New York,41.1472,-73.9962,Consumer Staples,Personal Products
E*Trade,ETFC,0.01,New York,New York,41.1472,-73.9962,Financials,Investment Banking & Brokerage
Foot Locker Inc,FL,-0.0004,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel Retail
Twenty-First Century Fox Class B,FOX,-0.0039,New York,New York,41.1472,-73.9962,Consumer Discretionary,Publishing
Twenty-First Century Fox Class A,FOXA,-0.0035,New York,New York,41.1472,-73.9962,Consumer Discretionary,Publishing
Goldman Sachs Group,GS,0.0086,New York,New York,41.1472,-73.9962,Financials,Investment Banking & Brokerage
Hess Corporation,HES,-0.0012,New York,New York,41.1472,-73.9962,Energy,Integrated Oil & Gas
Intl Flavors & Fragrances,IFF,-0.0032,New York,New York,41.1472,-73.9962,Materials,Specialty Chemicals
Interpublic Group,IPG,0.0024,New York,New York,41.1472,-73.9962,Consumer Discretionary,Advertising
JPMorgan Chase & Co.,JPM,0.0084,New York,New York,41.1472,-73.9962,Financials,Banks
Michael Kors Holdings,KORS,-0.019,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Loews Corp.,L,0.0012,New York,New York,41.1472,-73.9962,Financials,Multi-Sector Holdings
L-3 Communications Holdings,LLL,0.0003,New York,New York,41.1472,-73.9962,Industrials,Industrial Conglomerates
Leucadia National Corp.,LUK,0.0053,New York,New York,41.1472,-73.9962,Financials,Multi-Sector Holdings
Moody's Corp,MCO,-0.0043,New York,New York,41.1472,-73.9962,Financials,Diversified Financial Services
MetLife Inc.,MET,0.0036,New York,New York,41.1472,-73.9962,Financials,Life & Health Insurance
Marsh & McLennan,MMC,-0.0042,New York,New York,41.1472,-73.9962,Financials,Insurance Brokers
Morgan Stanley,MS,0.0072,New York,New York,41.1472,-73.9962,Financials,Investment Banking & Brokerage
NASDAQ OMX Group,NDAQ,-0.011,New York,New York,41.1472,-73.9962,Financials,Diversified Financial Services
Nielsen Holdings,NLSN,-0.0078,New York,New York,41.1472,-73.9962,Industrials,Research & Consulting Services
News Corp. Class B,NWS,-0.0011,New York,New York,41.1472,-73.9962,Consumer Discretionary,Publishing
News Corp. Class A,NWSA,0.0012,New York,New York,41.1472,-73.9962,Consumer Discretionary,Publishing
Omnicom Group,OMC,0.0022,New York,New York,41.1472,-73.9962,Consumer Discretionary,Advertising
Pfizer Inc.,PFE,-0.0009,New York,New York,41.1472,-73.9962,Health Care,Pharmaceuticals
Philip Morris International,PM,-0.0146,New York,New York,41.1472,-73.9962,Consumer Staples,Tobacco
PVH Corp.,PVH,-0.0052,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Polo Ralph Lauren Corp.,RL,0.0115,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel / Accessories & Luxury Goods
SL Green Realty,SLG,0.0052,New York,New York,41.1472,-73.9962,Real Estate,Office REITs
S&P Global Inc.,SPGI,-0.0127,New York,New York,41.1472,-73.9962,Financials,Diversified Financial Services
Tiffany & Co.,TIF,-0.0122,New York,New York,41.1472,-73.9962,Consumer Discretionary,Apparel / Accessories & Luxury Goods
The Travelers Companies Inc.,TRV,0.0049,New York,New York,41.1472,-73.9962,Financials,Property & Casualty Insurance
Time Warner Inc.,TWX,0.002,New York,New York,41.1472,-73.9962,Consumer Discretionary,Broadcasting & Cable TV
Viacom Inc.,VIAB,-0.0022,New York,New York,41.1472,-73.9962,Consumer Discretionary,Broadcasting & Cable TV
Vornado Realty Trust,VNO,0.0079,New York,New York,41.1472,-73.9962,Real Estate,REITs
Verizon Communications,VZ,-0.0047,New York,New York,41.1472,-73.9962,Telecommunications Services,Integrated Telecommunications Services
CSX Corp.,CSX,-0.003,Jacksonville,Florida,30.0956,-81.6217,Industrials,Railroads
Fidelity National Information Services,FIS,-0.0087,Jacksonville,Florida,30.0956,-81.6217,Information Technology,Internet Software & Services
Ameren Corp,AEE,-0.0069,Saint Louis,Missouri,38.7139,-90.2375,Utilities,MultiUtilities
Centene Corporation,CNC,-0.0229,Saint Louis,Missouri,38.7139,-90.2375,Health Care,Managed Health Care
Extra Space Storage,EXR,-0.0119,Salt Lake City,Utah,40.7869,-111.9008,Real Estate,Specialized REITs
Zions Bancorp,ZION,0.0094,Salt Lake City,Utah,40.7869,-111.9008,Financials,Regional Banks
Illumina Inc,ILMN,-0.0005,San Diego,California,33.0279,-117.0856,Health Care,Life Sciences Tools & Services
Realty Income Corporation,O,-0.0055,San Diego,California,33.0279,-117.0856,Real Estate,REITs
QUALCOMM Inc.,QCOM,-0.0055,San Diego,California,33.0279,-117.0856,Information Technology,Semiconductors
Sempra Energy,SRE,-0.0135,San Diego,California,33.0279,-117.0856,Utilities,MultiUtilities
Franklin Resources,BEN,-0.003,San Mateo,California,37.5735,-122.3225,Financials,Asset Management & Custody Banks
Salesforce.com,CRM,-0.0076,San Francisco,California,37.6216,-122.3929,Information Technology,Internet Software & Services
Digital Realty Trust,DLR,-0.0119,San Francisco,California,37.6216,-122.3929,Real Estate,Specialized REITs
Electronic Arts,EA,-0.0069,Redwood City,California,37.5331,-122.2486,Information Technology,Home Entertainment Software
Equinix,EQIX,-0.0102,Redwood City,California,37.5331,-122.2486,Real Estate,REITs
Facebook,FB,-0.0072,Menlo Park,California,37.4396,-122.1864,Information Technology,Internet Software & Services
Gap (The),GPS,0.012,San Francisco,California,37.6216,-122.3929,Consumer Discretionary,Apparel Retail
McKesson Corp.,MCK,0.0007,San Francisco,California,37.6216,-122.3929,Health Care,Health Care Distributors
PG&E Corp.,PCG,-0.0051,San Francisco,California,37.6216,-122.3929,Utilities,MultiUtilities
Prologis,PLD,-0.0055,San Francisco,California,37.6216,-122.3929,Real Estate,REITs
Robert Half International,RHI,0.0066,Menlo Park,California,37.4396,-122.1864,Industrials,Human Resource & Employment Services
Charles Schwab Corporation,SCHW,0.0081,San Francisco,California,37.6216,-122.3929,Financials,Investment Banking & Brokerage
Visa Inc.,V,-0.014,San Francisco,California,37.6216,-122.3929,Information Technology,Internet Software & Services
Wells Fargo,WFC,0.012,San Francisco,California,37.6216,-122.3929,Financials,Banks
Agilent Technologies Inc,A,-0.0129,Santa Clara,California,37.3997,-121.9608,Health Care,Health Care Equipment
Apple Inc.,AAPL,-0.0046,Cupertino,California,37.323,-122.0527,Information Technology,Computer Hardware
Adobe Systems Inc,ADBE,-0.0094,San Jose,California,37.4087,-121.9406,Information Technology,Application Software
Applied Materials Inc,AMAT,-0.0017,Santa Clara,California,37.3997,-121.9608,Information Technology,Semiconductor Equipment
Broadcom,AVGO,-0.0109,San Jose,California,37.4087,-121.9406,Information Technology,Semiconductors
Cisco Systems,CSCO,-0.0011,San Jose,California,37.4087,-121.9406,Information Technology,Networking Equipment
eBay Inc.,EBAY,0.0012,San Jose,California,37.4087,-121.9406,Information Technology,Internet Software & Services
Essex Property Trust Inc.,ESS,-0.0033,Palo Alto,California,37.4443,-122.1497,Real Estate,Residential REITs
Alphabet Inc Class C,GOOG,-0.0115,Mountain View,California,37.4056,-122.0775,Information Technology,Internet Software & Services
Alphabet Inc Class A,GOOGL,-0.012,Mountain View,California,37.4056,-122.0775,Information Technology,Internet Software & Services
Hewlett Packard Enterprise,HPE,-0.0076,Palo Alto,California,37.4443,-122.1497,Information Technology,Technology Hardware / Storage & Peripherals
HP Inc.,HPQ,-0.0014,Palo Alto,California,37.4443,-122.1497,Information Technology,Computer Hardware
Intel Corp.,INTC,-0.0009,Santa Clara,California,37.3997,-121.9608,Information Technology,Semiconductors
Intuit Inc.,INTU,-0.0008,Mountain View,California,37.4056,-122.0775,Information Technology,Internet Software & Services
Intuitive Surgical Inc.,ISRG,-0.0076,Sunnyvale,California,37.3983,-122.0006,Health Care,Health Care Equipment
Juniper Networks,JNPR,0.0028,Sunnyvale,California,37.3983,-122.0006,Information Technology,Networking Equipment
KLA-Tencor Corp.,KLAC,0.0023,Milpitas,California,37.4352,-121.895,Information Technology,Semiconductor Equipment
Linear Technology Corp.,LLTC,0.0027,Milpitas,California,37.4352,-121.895,Information Technology,Semiconductors
Netflix Inc.,NFLX,-0.0134,Los Gatos,California,37.2417,-121.9554,Information Technology,Internet Software & Services
NetApp,NTAP,0.0105,Sunnyvale,California,37.3983,-122.0006,Information Technology,Internet Software & Services
Nvidia Corporation,NVDA,0.0334,Santa Clara,California,37.3997,-121.9608,Information Technology,Semiconductors
PayPal,PYPL,-0.0101,San Jose,California,37.4087,-121.9406,Information Technology,Data Processing & Outsourced Services
